participant,poste,session,round_number,understanding_faults,treatment,group_uid,paid_round,dictator,extraction,extraction_group,approbation,nb_approbation_yes_in_group,nb_approbation_no_in_group,approbation_group,extraction_dictateur,extraction_group_applied,extraction_applied,payoff,svo_group_uid,svo_choice_1,svo_choice_2,svo_choice_3,svo_choice_4,svo_choice_5,svo_choice_6,svo_mean_self,svo_mean_other,svo_score,svo_group_selected_choice,svo_group_selected_player,svo_group_selected_player_decision,svo_group_selected_player_payoff,svo_group_non_selected_player_payoff,NLE_nombre_cible,NLE_curseur_position,NLE_payoff,NLE_paid_decision,crt_1,crt_2,crt_3,crt_4,crt_5,crt_6,crt_7,crt_score,nep_1,nep_2,nep_3,nep_4,nep_5,nep_6,nep_7,nep_8,nep_9,nep_10,nep_11,nep_12,nep_13,nep_14,nep_15,nep_score,year_of_birth,gender,nationality,marital_status,student,study_level,study_discipline,socioprofessional_group,experiment_participation
fhyddvw2,leem13,lrgx3tnx,5,,2,lrgx3tnx_3,,1,5.0,16.0,,,,,,,,240.0,lrgx3tnx_7,0.0,8.0,8.0,5.0,0.0,0.0,90.333,61.167,15.476,1.0,2.0,0.0,85.0,85.0,47.95,32.56,2.23,,200.0,0.5,3.0,9.0,30.0,10.0,2.0,0.0,2.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,56.0,1998.0,0.0,LB,0.0,1.0,4.0,2.0,,1.0
ubmlschd,leem4,lrgx3tnx,5,,2,lrgx3tnx_2,,0,5.0,20.0,,,,,,,,195.0,lrgx3tnx_5,0.0,8.0,8.0,3.0,2.0,5.0,85.333,70.5,30.122,4.0,1.0,8.0,85.0,15.0,47.95,50.22,2.89,,2.0,0.25,5.0,12.0,29.0,0.0,0.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,48.0,1996.0,0.0,FR,0.0,0.0,3.0,0.0,8.0,1.0
khjp5ejz,leem7,lrgx3tnx,6,,2,lrgx3tnx_6,,0,3.0,10.0,,,,,,,,244.0,lrgx3tnx_6,0.0,8.0,8.0,0.0,4.0,8.0,80.0,80.0,45.0,3.0,2.0,8.0,85.0,85.0,16.33,8.24,2.6,,2.0,0.25,5.0,4.0,29.0,10.0,0.0,6.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,46.0,1995.0,1.0,MA,0.0,1.0,3.0,6.0,,1.0
07gr0v45,leem14,lrgx3tnx,6,,2,lrgx3tnx_1,,1,10.0,23.0,,,,,,,,172.0,lrgx3tnx_10,0.0,8.0,8.0,4.0,4.0,5.0,84.0,70.833,31.497,3.0,2.0,8.0,85.0,85.0,16.33,10.14,2.69,,400.0,0.0,3.0,9.0,16.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,5.0,50.0,1990.0,1.0,HT,0.0,1.0,5.0,6.0,,1.0
xlzww6mi,leem8,lrgx3tnx,6,,2,lrgx3tnx_5,,1,1.0,16.0,,,,,,,,168.0,lrgx3tnx_8,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,16.33,0.0,2.18,,2.0,0.25,5.0,4.0,29.0,20.0,0.0,7.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,56.0,1995.0,1.0,MA,0.0,1.0,5.0,5.0,,1.0
9g5w364w,leem3,lrgx3tnx,6,,2,lrgx3tnx_6,,0,4.0,10.0,,,,,,,,276.0,lrgx3tnx_9,0.0,8.0,8.0,4.0,2.0,4.0,86.5,68.167,26.461,2.0,1.0,8.0,100.0,50.0,16.33,15.03,2.94,,200.0,0.5,5.0,6.0,15.0,10.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,3.0,4.0,56.0,1995.0,0.0,DZ,2.0,1.0,5.0,11.0,,1.0
t2p9wsas,leem2,lrgx3tnx,6,,2,lrgx3tnx_4,,0,7.0,18.0,,,,,,,,244.0,lrgx3tnx_9,0.0,4.0,1.0,3.0,4.0,0.0,78.333,68.167,32.668,2.0,1.0,8.0,100.0,50.0,16.33,12.99,2.83,,400.0,9.0,3.0,3.0,6.0,10.0,2.0,0.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,2.0,3.0,5.0,5.0,48.0,1993.0,0.0,DZ,0.0,1.0,5.0,12.0,,1.0
n4xv87jt,leem18,lrgx3tnx,6,,2,lrgx3tnx_4,,1,5.0,18.0,,,,,,,,217.0,lrgx3tnx_4,0.0,8.0,8.0,3.0,4.0,8.0,82.167,74.667,37.482,1.0,2.0,0.0,85.0,85.0,16.33,15.03,2.94,,2.0,0.5,5.0,4.0,29.0,10.0,0.0,5.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,61.0,1994.0,0.0,FR,1.0,0.0,3.0,2.0,5.0,1.0
u1iz0jid,leem11,lrgx3tnx,6,,2,lrgx3tnx_6,,1,3.0,10.0,,,,,,,,244.0,lrgx3tnx_3,0.0,8.0,8.0,5.0,3.0,3.0,86.167,66.5,24.523,1.0,2.0,0.0,85.0,85.0,16.33,13.54,2.86,,200.0,0.5,5.0,3.0,30.0,20.0,0.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,55.0,1999.0,0.0,FR,0.0,1.0,2.0,2.0,,1.0
5ewmykt4,leem16,lrgx3tnx,6,,2,lrgx3tnx_3,,0,5.0,14.0,,,,,,,,262.0,lrgx3tnx_4,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,1.0,2.0,0.0,85.0,85.0,16.33,12.31,2.8,,2.0,0.5,5.0,4.0,30.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,47.0,1999.0,1.0,MA,2.0,1.0,3.0,6.0,,1.0
b7arqzdd,leem1,lrgx3tnx,6,,2,lrgx3tnx_5,,0,7.0,16.0,,,,,,,,276.0,lrgx3tnx_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,16.33,9.05,2.64,,2.0,0.5,2.0,12.0,29.0,80.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,54.0,1999.0,0.0,FR,0.0,1.0,2.0,6.0,,1.0
vgi6tdgv,leem12,lrgx3tnx,6,,2,lrgx3tnx_1,,0,3.0,23.0,,,,,,,,156.0,lrgx3tnx_5,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,16.33,17.61,2.94,,2.0,0.25,5.0,4.0,29.0,20.0,0.0,7.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,55.0,1997.0,1.0,FR,0.0,1.0,4.0,19.0,,1.0
58to96jb,leem5,lrgx3tnx,6,,2,lrgx3tnx_2,,0,9.0,23.0,,,,,,,,170.0,lrgx3tnx_8,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,16.33,0.76,2.22,,200.0,0.25,3.0,9.0,15.0,20.0,0.0,3.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,53.0,1997.0,1.0,CI,0.0,1.0,4.0,6.0,,1.0
ajfmc5rg,leem15,lrgx3tnx,6,,2,lrgx3tnx_1,,0,10.0,23.0,,,,,,,,172.0,lrgx3tnx_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,16.33,0.0,2.18,,200.0,0.5,5.0,4.0,29.0,10.0,0.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,68.0,1999.0,0.0,FR,0.0,1.0,4.0,6.0,,1.0
m7r7zl6m,leem9,lrgx3tnx,6,,2,lrgx3tnx_2,,1,6.0,23.0,,,,,,,,163.0,lrgx3tnx_10,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,3.0,2.0,8.0,85.0,85.0,16.33,8.51,2.61,,400.0,0.5,6.0,9.0,15.0,20.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,56.0,1983.0,0.0,DZ,0.0,1.0,6.0,10.0,,1.0
qjnlrgcl,leem17,lrgx3tnx,6,,2,lrgx3tnx_3,,0,5.0,14.0,,,,,,,,262.0,lrgx3tnx_3,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,1.0,2.0,0.0,85.0,85.0,16.33,13.94,2.88,,100.0,0.5,5.0,6.0,30.0,10.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,5.0,56.0,1999.0,0.0,FR,0.0,1.0,2.0,2.0,,1.0
4vq5xn6p,leem10,lrgx3tnx,6,,2,lrgx3tnx_5,,0,8.0,16.0,,,,,,,,294.0,lrgx3tnx_7,0.0,8.0,8.0,4.0,0.0,8.0,87.167,68.833,26.872,1.0,2.0,0.0,85.0,85.0,16.33,11.36,2.75,,100.0,0.5,3.0,12.0,30.0,10.0,2.0,0.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,50.0,1994.0,1.0,MA,0.0,0.0,5.0,6.0,8.0,1.0
pvj7kie0,leem6,lrgx3tnx,6,,2,lrgx3tnx_4,,0,6.0,18.0,,,,,,,,231.0,lrgx3tnx_6,8.0,8.0,8.0,8.0,0.0,0.0,92.5,44.167,-7.815,3.0,2.0,8.0,85.0,85.0,16.33,13.54,2.86,,2.0,0.5,4.0,4.0,29.0,20.0,0.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,49.0,2002.0,1.0,FR,0.0,1.0,1.0,8.0,,1.0
fhyddvw2,leem13,lrgx3tnx,6,,2,lrgx3tnx_3,,1,4.0,14.0,,,,,,,,240.0,lrgx3tnx_7,0.0,8.0,8.0,5.0,0.0,0.0,90.333,61.167,15.476,1.0,2.0,0.0,85.0,85.0,16.33,18.16,2.91,,200.0,0.5,3.0,9.0,30.0,10.0,2.0,0.0,2.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,56.0,1998.0,0.0,LB,0.0,1.0,4.0,2.0,,1.0
ubmlschd,leem4,lrgx3tnx,6,,2,lrgx3tnx_2,,0,8.0,23.0,,,,,,,,168.0,lrgx3tnx_5,0.0,8.0,8.0,3.0,2.0,5.0,85.333,70.5,30.122,4.0,1.0,8.0,85.0,15.0,16.33,17.48,2.94,,2.0,0.25,5.0,12.0,29.0,0.0,0.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,48.0,1996.0,0.0,FR,0.0,0.0,3.0,0.0,8.0,1.0
khjp5ejz,leem7,lrgx3tnx,7,,2,lrgx3tnx_6,,1,4.0,13.0,,,,,,,,249.0,lrgx3tnx_6,0.0,8.0,8.0,0.0,4.0,8.0,80.0,80.0,45.0,3.0,2.0,8.0,85.0,85.0,26.76,23.05,2.81,,2.0,0.25,5.0,4.0,29.0,10.0,0.0,6.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,46.0,1995.0,1.0,MA,0.0,1.0,3.0,6.0,,1.0
07gr0v45,leem14,lrgx3tnx,7,,2,lrgx3tnx_1,,0,8.0,28.0,,,,,,,,78.0,lrgx3tnx_10,0.0,8.0,8.0,4.0,4.0,5.0,84.0,70.833,31.497,3.0,2.0,8.0,85.0,85.0,26.76,6.61,1.99,,400.0,0.0,3.0,9.0,16.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,5.0,50.0,1990.0,1.0,HT,0.0,1.0,5.0,6.0,,1.0
xlzww6mi,leem8,lrgx3tnx,7,,2,lrgx3tnx_5,,1,1.0,16.0,,,,,,,,168.0,lrgx3tnx_8,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,26.76,27.53,2.96,,2.0,0.25,5.0,4.0,29.0,20.0,0.0,7.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,56.0,1995.0,1.0,MA,0.0,1.0,5.0,5.0,,1.0
9g5w364w,leem3,lrgx3tnx,7,,2,lrgx3tnx_6,,0,4.0,13.0,,,,,,,,249.0,lrgx3tnx_9,0.0,8.0,8.0,4.0,2.0,4.0,86.5,68.167,26.461,2.0,1.0,8.0,100.0,50.0,26.76,35.82,2.55,,200.0,0.5,5.0,6.0,15.0,10.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,3.0,4.0,56.0,1995.0,0.0,DZ,2.0,1.0,5.0,11.0,,1.0
t2p9wsas,leem2,lrgx3tnx,7,,2,lrgx3tnx_4,,1,3.0,21.0,,,,,,,,170.0,lrgx3tnx_9,0.0,4.0,1.0,3.0,4.0,0.0,78.333,68.167,32.668,2.0,1.0,8.0,100.0,50.0,26.76,19.11,2.62,,400.0,9.0,3.0,3.0,6.0,10.0,2.0,0.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,2.0,3.0,5.0,5.0,48.0,1993.0,0.0,DZ,0.0,1.0,5.0,12.0,,1.0
n4xv87jt,leem18,lrgx3tnx,7,,2,lrgx3tnx_4,,0,8.0,21.0,,,,,,,,204.0,lrgx3tnx_4,0.0,8.0,8.0,3.0,4.0,8.0,82.167,74.667,37.482,1.0,2.0,0.0,85.0,85.0,26.76,24.41,2.88,,2.0,0.5,5.0,4.0,29.0,10.0,0.0,5.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,61.0,1994.0,0.0,FR,1.0,0.0,3.0,2.0,5.0,1.0
u1iz0jid,leem11,lrgx3tnx,7,,2,lrgx3tnx_6,,0,5.0,13.0,,,,,,,,273.0,lrgx3tnx_3,0.0,8.0,8.0,5.0,3.0,3.0,86.167,66.5,24.523,1.0,2.0,0.0,85.0,85.0,26.76,25.76,2.95,,200.0,0.5,5.0,3.0,30.0,20.0,0.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,55.0,1999.0,0.0,FR,0.0,1.0,2.0,2.0,,1.0
5ewmykt4,leem16,lrgx3tnx,7,,2,lrgx3tnx_3,,1,5.0,17.0,,,,,,,,228.0,lrgx3tnx_4,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,1.0,2.0,0.0,85.0,85.0,26.76,0.0,1.66,,2.0,0.5,5.0,4.0,30.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,47.0,1999.0,1.0,MA,2.0,1.0,3.0,6.0,,1.0
b7arqzdd,leem1,lrgx3tnx,7,,2,lrgx3tnx_5,,0,7.0,16.0,,,,,,,,276.0,lrgx3tnx_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,26.76,27.67,2.95,,2.0,0.5,2.0,12.0,29.0,80.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,54.0,1999.0,0.0,FR,0.0,1.0,2.0,6.0,,1.0
vgi6tdgv,leem12,lrgx3tnx,7,,2,lrgx3tnx_1,,0,10.0,28.0,,,,,,,,60.0,lrgx3tnx_5,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,26.76,24.0,2.86,,2.0,0.25,5.0,4.0,29.0,20.0,0.0,7.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,55.0,1997.0,1.0,FR,0.0,1.0,4.0,19.0,,1.0
58to96jb,leem5,lrgx3tnx,7,,2,lrgx3tnx_2,,0,7.0,18.0,,,,,,,,244.0,lrgx3tnx_8,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,26.76,0.76,1.7,,200.0,0.25,3.0,9.0,15.0,20.0,0.0,3.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,53.0,1997.0,1.0,CI,0.0,1.0,4.0,6.0,,1.0
ajfmc5rg,leem15,lrgx3tnx,7,,2,lrgx3tnx_1,,1,10.0,28.0,,,,,,,,60.0,lrgx3tnx_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,26.76,25.49,2.94,,200.0,0.5,5.0,4.0,29.0,10.0,0.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,68.0,1999.0,0.0,FR,0.0,1.0,4.0,6.0,,1.0
m7r7zl6m,leem9,lrgx3tnx,7,,2,lrgx3tnx_2,,0,5.0,18.0,,,,,,,,217.0,lrgx3tnx_10,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,3.0,2.0,8.0,85.0,85.0,26.76,6.88,2.01,,400.0,0.5,6.0,9.0,15.0,20.0,2.0,1.0,1.0,1.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,1.0,5.0,3.0,5.0,56.0,1983.0,0.0,DZ,0.0,1.0,6.0,10.0,,1.0
qjnlrgcl,leem17,lrgx3tnx,7,,2,lrgx3tnx_3,,0,6.0,17.0,,,,,,,,244.0,lrgx3tnx_3,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,1.0,2.0,0.0,85.0,85.0,26.76,21.01,2.71,,100.0,0.5,5.0,6.0,30.0,10.0,1.0,1.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,2.0,5.0,1.0,2.0,1.0,3.0,3.0,5.0,56.0,1999.0,0.0,FR,0.0,1.0,2.0,2.0,,1.0
4vq5xn6p,leem10,lrgx3tnx,7,,2,lrgx3tnx_5,,0,8.0,16.0,,,,,,,,294.0,lrgx3tnx_7,0.0,8.0,8.0,4.0,0.0,8.0,87.167,68.833,26.872,1.0,2.0,0.0,85.0,85.0,26.76,27.12,2.98,,100.0,0.5,3.0,12.0,30.0,10.0,2.0,0.0,4.0,1.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,50.0,1994.0,1.0,MA,0.0,0.0,5.0,6.0,8.0,1.0
pvj7kie0,leem6,lrgx3tnx,7,,2,lrgx3tnx_4,,0,10.0,21.0,,,,,,,,217.0,lrgx3tnx_6,8.0,8.0,8.0,8.0,0.0,0.0,92.5,44.167,-7.815,3.0,2.0,8.0,85.0,85.0,26.76,26.72,3.0,,2.0,0.5,4.0,4.0,29.0,20.0,0.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,1.0,4.0,3.0,4.0,4.0,4.0,49.0,2002.0,1.0,FR,0.0,1.0,1.0,8.0,,1.0
fhyddvw2,leem13,lrgx3tnx,7,,2,lrgx3tnx_3,,0,6.0,17.0,,,,,,,,244.0,lrgx3tnx_7,0.0,8.0,8.0,5.0,0.0,0.0,90.333,61.167,15.476,1.0,2.0,0.0,85.0,85.0,26.76,21.42,2.73,,200.0,0.5,3.0,9.0,30.0,10.0,2.0,0.0,2.0,1.0,4.0,2.0,4.0,1.0,5.0,3.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,56.0,1998.0,0.0,LB,0.0,1.0,4.0,2.0,,1.0
ubmlschd,leem4,lrgx3tnx,7,,2,lrgx3tnx_2,,1,6.0,18.0,,,,,,,,231.0,lrgx3tnx_5,0.0,8.0,8.0,3.0,2.0,5.0,85.333,70.5,30.122,4.0,1.0,8.0,85.0,15.0,26.76,26.85,3.0,,2.0,0.25,5.0,12.0,29.0,0.0,0.0,5.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,48.0,1996.0,0.0,FR,0.0,0.0,3.0,0.0,8.0,1.0
khjp5ejz,leem7,lrgx3tnx,8,,2,lrgx3tnx_6,,1,6.0,14.0,,,,,,,,285.0,lrgx3tnx_6,0.0,8.0,8.0,0.0,4.0,8.0,80.0,80.0,45.0,3.0,2.0,8.0,85.0,85.0,84.58,79.84,2.76,,2.0,0.25,5.0,4.0,29.0,10.0,0.0,6.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,46.0,1995.0,1.0,MA,0.0,1.0,3.0,6.0,,1.0
07gr0v45,leem14,lrgx3tnx,8,,2,lrgx3tnx_1,,1,10.0,18.0,,,,,,,,285.0,lrgx3tnx_10,0.0,8.0,8.0,4.0,4.0,5.0,84.0,70.833,31.497,3.0,2.0,8.0,85.0,85.0,84.58,8.92,0.0,,400.0,0.0,3.0,9.0,16.0,0.0,0.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,5.0,5.0,2.0,4.0,1.0,5.0,4.0,1.0,5.0,50.0,1990.0,1.0,HT,0.0,1.0,5.0,6.0,,1.0
xlzww6mi,leem8,lrgx3tnx,8,,2,lrgx3tnx_5,,0,1.0,16.0,,,,,,,,168.0,lrgx3tnx_8,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,84.58,85.28,2.96,,2.0,0.25,5.0,4.0,29.0,20.0,0.0,7.0,2.0,2.0,4.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,56.0,1995.0,1.0,MA,0.0,1.0,5.0,5.0,,1.0
9g5w364w,leem3,lrgx3tnx,8,,2,lrgx3tnx_6,,0,4.0,14.0,,,,,,,,240.0,lrgx3tnx_9,0.0,8.0,8.0,4.0,2.0,4.0,86.5,68.167,26.461,2.0,1.0,8.0,100.0,50.0,84.58,11.23,0.0,,200.0,0.5,5.0,6.0,15.0,10.0,2.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,2.0,1.0,5.0,1.0,5.0,4.0,5.0,3.0,4.0,56.0,1995.0,0.0,DZ,2.0,1.0,5.0,11.0,,1.0
t2p9wsas,leem2,lrgx3tnx,8,,2,lrgx3tnx_4,,1,2.0,17.0,,,,,,,,181.0,lrgx3tnx_9,0.0,4.0,1.0,3.0,4.0,0.0,78.333,68.167,32.668,2.0,1.0,8.0,100.0,50.0,84.58,85.14,2.97,,400.0,9.0,3.0,3.0,6.0,10.0,2.0,0.0,4.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,3.0,1.0,2.0,3.0,5.0,5.0,48.0,1993.0,0.0,DZ,0.0,1.0,5.0,12.0,,1.0
n4xv87jt,leem18,lrgx3tnx,8,,2,lrgx3tnx_4,,0,6.0,17.0,,,,,,,,244.0,lrgx3tnx_4,0.0,8.0,8.0,3.0,4.0,8.0,82.167,74.667,37.482,1.0,2.0,0.0,85.0,85.0,84.58,78.21,2.68,,2.0,0.5,5.0,4.0,29.0,10.0,0.0,5.0,4.0,1.0,5.0,3.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,61.0,1994.0,0.0,FR,1.0,0.0,3.0,2.0,5.0,1.0
u1iz0jid,leem11,lrgx3tnx,8,,2,lrgx3tnx_6,,0,4.0,14.0,,,,,,,,240.0,lrgx3tnx_3,0.0,8.0,8.0,5.0,3.0,3.0,86.167,66.5,24.523,1.0,2.0,0.0,85.0,85.0,84.58,82.29,2.89,,200.0,0.5,5.0,3.0,30.0,20.0,0.0,3.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,55.0,1999.0,0.0,FR,0.0,1.0,2.0,2.0,,1.0
5ewmykt4,leem16,lrgx3tnx,8,,2,lrgx3tnx_3,,1,4.0,15.0,,,,,,,,231.0,lrgx3tnx_4,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,1.0,2.0,0.0,85.0,85.0,84.58,57.56,1.65,,2.0,0.5,5.0,4.0,30.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,47.0,1999.0,1.0,MA,2.0,1.0,3.0,6.0,,1.0
b7arqzdd,leem1,lrgx3tnx,8,,2,lrgx3tnx_5,,1,7.0,16.0,,,,,,,,276.0,lrgx3tnx_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,84.58,89.76,2.74,,2.0,0.5,2.0,12.0,29.0,80.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,54.0,1999.0,0.0,FR,0.0,1.0,2.0,6.0,,1.0
vgi6tdgv,leem12,lrgx3tnx,8,,2,lrgx3tnx_1,,0,5.0,18.0,,,,,,,,217.0,lrgx3tnx_5,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,84.58,89.49,2.75,,2.0,0.25,5.0,4.0,29.0,20.0,0.0,7.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,2.0,2.0,4.0,5.0,4.0,4.0,55.0,1997.0,1.0,FR,0.0,1.0,4.0,19.0,,1.0
58to96jb,leem5,lrgx3tnx,8,,2,lrgx3tnx_2,,0,8.0,19.0,,,,,,,,240.0,lrgx3tnx_8,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,84.58,0.0,0.0,,200.0,0.25,3.0,9.0,15.0,20.0,0.0,3.0,1.0,1.0,5.0,2.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,5.0,53.0,1997.0,1.0,CI,0.0,1.0,4.0,6.0,,1.0
ajfmc5rg,leem15,lrgx3tnx,8,,2,lrgx3tnx_1,,0,3.0,18.0,,,,,,,,190.0,lrgx3tnx_2,0.0,8.0,8.0,8.0,0.0,0.0,92.5,55.833,7.815,4.0,1.0,8.0,85.0,15.0,84.58,89.49,2.75,,200.0,0.5,5.0,4.0,29.0,10.0,0.0,4.0,4.0,2.0,5.0,3.0,5.0,1.0,5.0,2.0,5.0,1.0,5.0,1.0,3.0,1.0,5.0,68.0,1999.0,0.0,FR,0.0,1.0,4.0,6.0,,1.0
